Username,Text,Created At,Retweets,Likes,Sentiment
Adam Back,"@BobMcElrath @TTrevethan @PeterMcCormack @Liquid_BTC Encoded descriptors are nice, but they are not as compact as seeds, not fixed size etc and so create a new backup risk. Also people add new multisigs and custom miniscripts subwallets over time. But descriptors are small and compact enough to write into a small blob store.",2023-12-31 13:31:26+00:00,0,0,0
Adam Back,"@BobMcElrath @TTrevethan @PeterMcCormack @Liquid_BTC No that would be inefficient. But protocols should be designed to be recoverable from a seed, plus minimal data to reduce the risk of funds loss. For example LN-SYMMETRY gets much closer to that.",2023-12-31 10:43:19+00:00,0,0,0
Olaoluwa Osuntokun,"several years in the making, I'm excited to announce the release of btcd v0.24: https://t.co/CXqVM6SW8J

this release includes many bug fixes, important security fixes (update!), pruning support, and many optimizations reducing chain sync time from ~45 hours+ (days) to ~6 hours",2023-12-31 02:37:26+00:00,45,222,1
Olaoluwa Osuntokun,"@LarryBitcoin @nitesh_btc @JWWeatherman_ diffusion of knowledge, which itself is an important part of decentralization

what's the bus factor in Bitcoin today? how many people could reimplement from scratch if needed? how many people active today still know of all the low level esoterica required to implement Bitcoin?",2023-12-31 18:17:31+00:00,1,10,1
Olaoluwa Osuntokun,"@benthecarman nah, the nuisance stuff uses tiny amt of bytes anyway, each week they make some nu variant, good luck paying wackamole

for better or for worse, *this* is what permissionlessness is all about: any txn that conforms w/ consensus rules can be mined, it's Bitcoin's greatest strength",2023-12-31 18:40:36+00:00,4,26,0
Olaoluwa Osuntokun,"@benthecarman tbh it's disappointing how much time n energy people are devoting to this saga, rather than focusing on mo productive avenues like low hanging fruits to increase chain efficiency o scalability

don't fight permissionlessness, or Bitcoin loses value, if JSON blobs scare u then idk",2023-12-31 18:43:38+00:00,6,30,1
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc ofc don't disagree that diff impls can increase consensus risk, but not zero sum: each time a diff impl discovers an obscure consensus issue, the science+engineering of ze field moves forward 

would u rather *not* increase our collective knowledge of the system we hold so dear?",2023-12-31 21:22:22+00:00,1,4,0
Olaoluwa Osuntokun,"@janhodl3 if you don't care about how Bitcoin works, or don't need to write special software that interacts with the network, or anything like that, then you should just run bitcoind, it's what the overwhelming economic super majority of the runs, so it's the safest",2023-12-31 20:14:13+00:00,0,2,1
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc the person I would put in the top 5 of knowledge w.r.t Bitcoin consensus is also the only person in the world to my knowledge that's implemented Bitcoin in &gt; 2 languages

as they say, you only really understand something if you can take it all apart then put it together again",2023-12-31 21:19:32+00:00,0,2,1
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc could compare to ze capital expenditure (both human+monetary) that would be required to write something comparable to Google Chrome from scratch, prob hundreds of millies of $'s if not billies

today no one in Bitcoin ecosystem takes challenge nor existential risk seriously tho",2023-12-31 23:08:21+00:00,0,1,1
Olaoluwa Osuntokun,"@LarryBitcoin @nitesh_btc @JWWeatherman_ the shared idea is what gives the software power, in the past we've seen the 2 concepts not always be in sync, but ultimately Bitcoin is the software w/ the highest fidelity manifestation of the idea

eg: if an impl had an issue re 21 mil limit, it deviated from Bitcoin the idea",2023-12-31 18:25:20+00:00,0,4,0
Olaoluwa Osuntokun,"@LarryBitcoin @nitesh_btc @JWWeatherman_ I know we don't agree on this stuff, but that's ok

If it weren't for btcd, or generally the ability for anyone to have an independent implementation themselves, I prob wouldn't have started working on Bitcoin way back when

as we know Bitcoin the idea trumps Bitcoin the software",2023-12-31 18:20:39+00:00,0,6,0
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc can we trust such invaluable knowledge (which is literally freedom, as it's required to create + validate BTC in ze first place), to a handful of ppl or even a single organization? 

ofc nothing but respect to all devs, but nothing is infallible, orgs decay, knowledge forgotten",2023-12-31 21:24:51+00:00,0,3,0
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc very reasonable stance, agree we aren't there today (efforts have moved beyond test vectors and into behavioral checks with boundary edge cases), but would rather be on the side of advancing our knowledge to seek the truth of what Bitcoin really is at the software level",2023-12-31 22:57:43+00:00,0,0,1
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc for various reasons and path dependence, today bitcoind doesn't have credible competition, one could argue that this holds back bitcoin, as a single firm may not be properly delivering what the market demands due to lack of incentives

or even just due to lack of imagination",2023-12-31 23:04:24+00:00,0,0,1
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc it isn't a zero sum game, knowledge gained working on other implementations can itself contribute to _broader_ consensus level review, and also serves to ensure that tribal knowledge can be passed down and won't vanish as ppl cease contributing to the system",2023-12-31 21:18:27+00:00,0,0,0
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc by and by, competition is what drives innovation, with the user base ultimately winning no matter the path

today no single LN impl can just sit on its laurels as there're other impls with talented and driven individuals that collectively help to continue to push the boundaries",2023-12-31 23:00:49+00:00,0,0,1
Olaoluwa Osuntokun,"@LarryBitcoin @Suheb__ @JWWeatherman_ @nitesh_btc re risk, I view it as inverse abs nat log function, high risk w/ low capital investment, but which starts to teeter off over time

rn we're still somewhat early in the curve, much mo work needed to move things to the right and down

with that expenditure we all gain more freedom",2023-12-31 23:46:58+00:00,0,0,0
Olaoluwa Osuntokun,"@beeforbacon1 @benthecarman all the meme stuff rn is based on a dollar auction disguised as a ""fair mint"", ppl pay N-1 BTC in a txn (fees) to have the potential to flip for N BTC

for those playing w/o house money at this stage, it presents a dream to get in early and potentially cash out big",2023-12-31 20:00:25+00:00,0,1,0
Mohamed A. El-Erian,"From Bloomberg on the latest set of activity data out of China:
“The PMI figures provided more signs of weakness in China’s economic recovery in the final months of the year. They are also likely to add pressure on fiscal and monetary policymakers to act urgently, after leaders https://t.co/uYkAsXb8Jb",2023-12-31 05:44:55+00:00,86,276,-1
Willy Woo,"@LukeMikic21 You really need to breakdown the miners balances. 1.746m BTC are attributed to Satoshi (1.1m) and early miners who lost their keys. All other active miners hold less than 80,000 BTC.",2023-12-31 04:38:13+00:00,2,46,0
Willy Woo,"@boomer_btc @LukeMikic21 No, it’s looking at the mined coins on the network. Mainly they are attributed to mining pools.",2023-12-31 05:49:27+00:00,0,5,0
