Username,Text,Created At,Retweets,Likes,Sentiment
Jameson Lopp,"Bitcoin average DAILY value change during:
2010: +0.82%
2011: +0.76%
2012: +0.26%
2013: +1.11%
2014: -0.25%
2015: +0.09%
2016: +0.22%
2017: +0.78%
2018: -0.33%
2019: +0.18%
2020: +0.38%",2020-12-31 12:54:06+00:00,92,598,0
DETERMINISTIC OPTIMISM 🌞,@stephanlivera And thx you for the awesome pod teaching ppl about the bitcoin way! 👐,2020-12-31 13:17:39+00:00,0,7,0
Michael Saylor,"Money is, and has always been, technology.",2020-12-31 13:27:20+00:00,544,5018,1
Willy Woo,@novogratz Not a coin. A protocol. The SoV it routes will be agnostic. Lightning has a fair chance.,2020-12-31 13:48:55+00:00,9,334,0
Michael Saylor,"Satoshi created a city in cyberspace, composed of 21 million city blocks, for the 21st century.  In 2021,  everyone will want a place there.  #Bitcoin",2020-12-31 15:01:08+00:00,1351,9062,0
Anthony Pompliano 🌪,@the_bitcoin_bum :),2020-12-31 15:13:13+00:00,0,2,1
CoinDesk,"Bitcoin mining equipment maker Ebang said it is preparing to officially launch a cryptocurrency exchange in the first quarter of 2021.

By @Tanzeel_Akhtar

https://t.co/i2qpk95YX6",2020-12-31 15:22:42+00:00,17,52,0
Michael Saylor,#Bitcoin is the solution.   Everything else is just noise.,2020-12-31 15:32:45+00:00,564,2990,1
Jameson Lopp,"Bitcoin's thermodynamic security accelerated at an average rate of 1,458 GH/s^2 in 2020. https://t.co/7yXYzG8Vlz",2020-12-31 15:46:39+00:00,14,107,0
Willy Woo,Happy New Year crypto community. 2021 will be good year. And life changing.,2020-12-31 15:59:27+00:00,140,2351,1
Jameson Lopp,"The 3rd known bitcoin-related physical attack in Dubai just happened. Unique twist: using deodorant as a weapon. Face to face trades are dangerous, folks!
https://t.co/0r49fURMqJ",2020-12-31 16:15:15+00:00,9,48,0
Anthony Pompliano 🌪,"One of my areas of focus in 2020 was to scale the size of our content business across platforms.

Here is our year in review 👇🏽👇🏽👇🏽",2020-12-31 16:26:14+00:00,48,943,0
Anthony Pompliano 🌪,"1/ Everything starts and ends with Twitter for me.

Jan 2020: ~ 300k followers
Dec 2020: ~ 430k followers

I do over 100 million impressions per month and will continue to use Twitter to drive traffic everywhere else over time. https://t.co/7tRrGeFoKO",2020-12-31 16:26:15+00:00,8,178,0
Anthony Pompliano 🌪,"A big thank you also goes to the people who have helped me or continue to help me today:

@polina_marinova 
@JoePompliano 
@GoingParabolic 
@MarkYusko 
@Jordy__Long 
@mattmarlinski 
@JoeKlokus 
@RyanOC13 

And so, so many others 🙏🏽",2020-12-31 16:26:19+00:00,9,232,0
nic carter,"@robustus @danheld that's not incompatible with the EMH. if structural barriers to taking a position exist, like a lack of custody, or career risk at funds, that perfectly explains bitcoin's trajectory even as it's been obvious to us for years. but we've just explained price action without supply!",2020-12-31 16:28:29+00:00,0,1,1
CoinDesk,"3.5 hours left to bit on @XCOPYART's ""Bitcoin Protestors"" NFT @niftygateway 

Current high bids at $3,383 

#mostinfluential2020

https://t.co/JoIwn8eiLN https://t.co/xKaRrBEZQN",2020-12-31 16:34:45+00:00,6,23,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Just signed up a new sponsor. Offered a 10% discount if they paid the whole year in advance in #bitcoin.

They agreed. Let’s go!",2020-12-31 16:42:14+00:00,21,1380,1
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,Trying to figure out if we can transition to a #bitcoin denominated business. Lots of challenges with this so let’s see.,2020-12-31 16:47:02+00:00,2,216,0
Jameson Lopp,"Bitcoin trade volume was flat throughout 2020 via Bisq and Localbitcoins, though Paxful saw a decent uptick in the summer. https://t.co/n9T79DZre3 https://t.co/FshNQVThxM",2020-12-31 16:49:20+00:00,5,32,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"@HenryClay Nah for paying early, I requested it was in #bitcoin",2020-12-31 17:15:39+00:00,0,7,1
DETERMINISTIC OPTIMISM 🌞,"Bitcoin Credit Unions are the next step in takeover.

Immigrants did this in every new country.

Capitalize f/ within as the other banks would not loan them in reasonable terms, and ensure same goals, principles and time preference.

This is the way BitcoinERS eat the world.",2020-12-31 17:15:46+00:00,1,52,0
nic carter,"if 2021 is anything like 2020, 2019, 2018, or 2017, I'm going to write a bunch of stuff about bitcoin again.",2020-12-31 17:36:54+00:00,4,140,0
CoinDesk,"In a year marked by institutions realizing the value of “digital gold” and getting in, Saylor has stood out as the CEO wielding bitcoin as the One Asset to Rule Them All. 

Meet #MostInfluential2020's Cyber Hornet of Bitcoin: 
https://t.co/evminSQdo3 https://t.co/gcztShC6Ut",2020-12-31 17:39:13+00:00,12,86,1
nic carter,"I do agree that the way bitcoiners talk about scarcity is questionable. any amount of bitcoin would be sufficient, because it's infinitely divisible (satoshis are just a way to render a continuous quantity discrete).",2020-12-31 17:44:51+00:00,0,26,0
nic carter,"but what matters is how much of the world's wealth or purchasing power we choose to allocate to bitcoin. since that's nonzero, no matter how you divide it up, the units have value. the mode of division is irrelevant.",2020-12-31 17:45:54+00:00,0,45,1
nic carter,"@MrV_777 yeah regardless of how we divide it up, there is a fixed quantity of Bitcoin in the world, we can say there's 1 unit of Bitcoin (with arbitrary divisions). it's just a question of how much of the world's wealth we allocate to that 1 unit",2020-12-31 17:47:38+00:00,0,11,1
nic carter,after reading that thread I am thinking my BTC 50k fomo purchase will be a steinway though. love steinways,2020-12-31 17:53:13+00:00,0,75,1
Willy Woo,"@PeterSchiff Betting against humanity has mostly been a losing path, this is the problem with being an advocate for safe havens, it’s distorts the lens when in reality, the present is consistently and measurably better than the past across the long arc of time.",2020-12-31 17:57:40+00:00,9,201,0
Willy Woo,"@Josh89539473 @CambridgeAltFin @glassnode Speculation is the act of buying and selling risk. It drives the world forward. If you’re bearish on BTC, short it so others can use your world view to take the other side.

What u see as a casino, others use to create insurance products, loans, capital markets to fund ventures.",2020-12-31 18:10:39+00:00,0,10,0
Willy Woo,@PeterSchiff 2017 bubble was 3 years ago eh? Still beats holding gold. https://t.co/py2YiPSpOH,2020-12-31 18:16:04+00:00,74,927,0
Adam Back,@jonrcrabtree @Veseli_Btc @JackMallers @starkness @roasbeef Yes down go millisats (1/1000th of a sat). But they get rounded to whole sats when taken on chain.,2020-12-31 18:23:09+00:00,0,4,1
Jameson Lopp,"Bitcoin's network hashrate increased by 41% during 2020, from 113 to 159 exahash per second. https://t.co/bGirYxrO3g https://t.co/wtXTt8pMQV",2020-12-31 18:27:22+00:00,8,68,0
Jameson Lopp,"Controversial opinion: it is not financially prudent to sell ALL of your bitcoin to purchase a car / house / private island.

Why? Debt is a tool that can be used to your advantage.

You can get loans for 2% - 10% APR.

BTC avg annual price change over past 5 years: over 100%. 🤓",2020-12-31 19:02:13+00:00,49,497,1
nic carter,Close one but bitcoin pulled ahead to snatch victory,2020-12-31 19:37:37+00:00,25,260,0
nic carter,@jasonklau Christmas is over. It’s bitcoin season now,2020-12-31 19:40:35+00:00,0,2,1
Adam Back,Thread. ICOs and missold alts held back progress. There are costs: those who lost were often those who could least afford it.,2020-12-31 20:00:29+00:00,16,165,1
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"@dk_bitcoin @fluffypony @_DannyKnowles @DefianceCast Yes it’s been a while, we should do another. I’m kinda okay with Monero too.",2020-12-31 20:06:13+00:00,0,4,1
Jameson Lopp,"2020 commits (excluding merges) &amp; contributors:
bitcoin core: 2,978 &amp; 172
c-lightning: 1,918 &amp; 46
lnd: 1,587 &amp; 64
rust-lightning: 580 &amp; 22
eclair: 277 &amp; 12
blockcore: 215 &amp; 15
btcd: 108 &amp; 52
gocoin: 97 &amp; 1
bcoin: 73 &amp; 6
libbitcoin-system: 16 &amp; 2
ptarmigan: 8 &amp; 2
parity btc: 2 &amp; 1",2020-12-31 20:10:51+00:00,13,116,0
Adam Back,@jmcorgan Capital efficiency would have been better burning $100bills in a turbine to mine bitcoin.,2020-12-31 20:11:07+00:00,0,14,1
DETERMINISTIC OPTIMISM 🌞,@BenBrry @untappedgrowth Against bitcoin collateral?,2020-12-31 20:38:03+00:00,0,1,0
CoinDesk,"""A multi-polar global financial system, carved up into U.S. and Chinese spheres of influence, arguably creates space and motivation for more neutral blockchain-based assets and financial infrastructure,"" says @GarrickHileman @Blockchain @LSENews. 

https://t.co/Knb8ughmdZ",2020-12-31 20:50:14+00:00,20,60,1
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Tether FUDsters wind your neck in.

Stop bitching about Tether because you didn’t buy #bitcoin.",2020-12-31 20:53:22+00:00,1,83,1
CoinDesk,"MARKET WRAP: Bitcoin nearly triples its price in 2020 and ends the year close to $29,000 but ether gained 450%.  Report by @godbole17:
 https://t.co/8HWAkqz13f",2020-12-31 21:11:44+00:00,28,75,0
Mohamed A. El-Erian,"Solid end to an absolutely remarkable year for financial #markets in which,thanks to trillions of dollars from #CentralBanks, #stocks, #gold, #silver, high yield #bonds—in fact virtually all financial assets—had a great year while the real #economy languished and still languishes https://t.co/niIzDFSagV",2020-12-31 21:12:49+00:00,62,236,0
Jameson Lopp,@bitstein @pierre_rochard What if Bitcoin crashes up?,2020-12-31 21:15:05+00:00,1,49,1
Dylan LeClair,Raoul doesn’t even hold 10 BTC. Sad. 😒,2020-12-31 21:16:55+00:00,0,18,0
Dylan LeClair,"@SonOfTheSunNFTs He said he wasn’t a billionaire! 10 BTC = 1 Billion Satoshis! 

Lol",2020-12-31 21:23:22+00:00,0,1,1
Anthony Pompliano 🌪,I love when the dinosaur financial advisors come out of hibernation to fire off a boomer tweet because they’re so salty they were wrong when they told their clients not to buy Bitcoin.,2020-12-31 21:44:21+00:00,162,2267,1
CoinDesk,"NEW: The Financial Crimes Enforcement Network wants U.S. persons who hold crypto in offshore accounts to report holdings worth over $10,000.

@realDannyNelson @nikhileshde report

https://t.co/pm43RdUwrH",2020-12-31 21:55:24+00:00,98,213,0
nic carter,"A short story, by bitcoin twitter. 

“The",2020-12-31 22:11:35+00:00,2,62,1
Anthony Pompliano 🌪,@Scaramucci Counting on you to get them all buying Bitcoin 🙏🏼,2020-12-31 22:14:06+00:00,4,60,1
nic carter,@mikeboId @dk_bitcoin @cyberamine12 @dilutionproof @sick_sats_hodl @adampatel23 @superskag @BrainHarrington @Bitcoinbot1987 @Rob1Ham @ProofOfKeags @ironmanventures I’ll take it,2020-12-31 22:28:40+00:00,0,22,1
Anthony Pompliano 🌪,"@Thoriumwealth @alexmagnusBTC Lol please. You literally have spelling mistakes on the homepage of your website.

If you don’t have attention to detail on your own work, wonder how diligent you are with your clients’ funds.

Be more diligent and maybe you wouldn’t have missed Bitcoin 😉 https://t.co/TOUMLEohC4",2020-12-31 22:37:26+00:00,1,44,0
Anthony Pompliano 🌪,"@TonyT2Thomas Some of biggest believers have many more years of experience than me. My favorites are openminded, willing to adapt to changing environments, &amp; constantly intellectually curious. 

Would be fascinating to hear more about how you came across Bitcoin &amp; what grabbed your attention.",2020-12-31 23:05:52+00:00,1,18,1
Jameson Lopp,"Time to get the fuck out, 2020. And don't come back!",2020-12-31 23:19:52+00:00,14,316,-1
Adam Back,"#bitcoin is still so early. Behold those who should ""get it"" in 2020 rehashing 2013 vintage confusion. https://t.co/i1cyq4Ee65 on crypto list (where Satoshi posted 2008 announce). Full dumpster fire of confusion. Some not helping using ""they know"" tone (making it up as they go).",2020-12-31 23:45:42+00:00,24,303,-1
nic carter,@clarkmoody Ray seems to have lied about his famous 'bitcoin prehistory' post so his opinions on this stuff can be safely ignored,2020-12-31 23:54:15+00:00,0,9,1
nic carter,@RussHarben @clarkmoody https://t.co/RCUYlXIMUh,2020-12-31 23:59:55+00:00,0,1,0
CoinDesk,"Our last Chart of the Day of 2021 shows top vintage Champagnes outperforming big tech stocks and the orange coin in terms of price appreciation.

@galenmoore explains why in ""All About Bitcoin,"" presented by @cryptocom: https://t.co/MMiOM752b1 https://t.co/rJYfGMynRO",2021-12-31 00:19:21+00:00,30,85,0
CoinDesk,"""I watched a massive pump and dump happen before my eyes, inadvertently led by Elon Musk,"" @wolfofwallst said on #CDTV in September. 

2021 was a busy year for the crypto markets. Take a look back on the peaks and dips, presented by @Grayscale: https://t.co/Tsl0pvPuoW https://t.co/1T8cciVcLq",2021-12-31 00:35:08+00:00,35,119,1
nic carter,dont know what's worse making an unauthorized nft using my likeness or having the artist add 30 pounds https://t.co/bt4PpV0FYX,2021-12-31 02:49:35+00:00,8,1301,0
Anthony Pompliano 🌪,Today was a good day. Can't wait to do it again with all of you tomorrow. Goodnight 🙏🏼,2021-12-31 03:23:06+00:00,33,758,1
Jameson Lopp,I hereby signal my support for BIP-119 OP_CHECKTEMPLATEVERIFY. Those who have reasonable technical objections should file them on the appropriate pull request.,2021-12-31 03:49:40+00:00,43,312,0
Willy Woo,"@beautyofhelin Shrimps are buying the dips, whales slowly divest, same as ever. (BTC gets better distribution every year through this process)

MicroStrategy is considered a holding entity for a multitude of investors no different than exchanges and ETFs. So we don’t classify it as a whale.",2021-12-31 04:11:17+00:00,34,671,1
Willy Woo,"This is @saylor's stacking of sats visualised.

In case anyone wants to something to aspire to for 2022. Best wishes for the New Year. https://t.co/2QX6x3sPhN",2021-12-31 06:41:46+00:00,343,3278,0
Mohamed A. El-Erian,"Wishing you all a Happy New Year. May 2022 be full of happiness, health and peace for all.        #HappyNewYear2022 #NewYear2022 #NewYear https://t.co/AKdyQaNnvL",2021-12-31 08:01:15+00:00,9,326,0
Mohamed A. El-Erian,From some 18 years ago: my amazing daughter and … The General Theory by Keynes!!!!! https://t.co/yWGpnd4dqX,2021-12-31 10:45:15+00:00,4,512,0
CoinDesk,"Bitcoin advanced to the highest in three days as crypto markets posted a muted rally into the year-end.

By @sheldonreback https://t.co/vykZy6K36I",2021-12-31 10:47:30+00:00,31,127,0
Willy Woo,"@RaoulGMI @WClementeIII I'm not seeing this. In terms of accumulation (and not on-chain volume) retail is slightly stronger in relative terms. Meanwhile institutional flows are smaller in scale than pre-May, where they were net sellers. They were moderate net buyers Aug/Oct, then sellers Nov/Dec.",2021-12-31 11:40:32+00:00,19,628,0
Willy Woo,"Retail continues to stack stronger than ever for this year. Meanwhile institutions and whales bought Aug-Sep, sold down Nov-Dec, and now swinging towards a buy zone in Jan 2022.

Net flow chart:
Orange = holders of &gt;1000 BTC
Blue = holders of &lt;1 BTC https://t.co/pl8jus7pSP",2021-12-31 12:02:02+00:00,356,2310,0
CoinDesk,"2021 has been the cryptocurrency industry’s biggest year ever. But what major moves can we expect in 2022?

We’ve got some predictions 👇 https://t.co/nvHJKeUQu9",2021-12-31 12:07:39+00:00,41,146,0
Anthony Pompliano 🌪,GM. Last day of 2021. Let’s get after it relentlessly 🔥,2021-12-31 12:30:36+00:00,61,885,1
Adam Back,"90% volatility is REALLY high, but #bitcoin's Sharpe ratio is even higher, so the volatility is worth riding. but if someone draws error bars 1 sd apart on a price model, that means they are enormous error bars, and yet given the Sharpe ratio, that is still appropriate and useful",2021-12-31 12:44:18+00:00,15,244,0
Michael Saylor,This is the last day of the year to buy #bitcoin.,2021-12-31 13:10:18+00:00,1949,20232,1
Adam Back,"@PeterSchiff you're a professional investor, you know about volatility and Sharpe ratios. yet you've been saying similar things since bitcoin was $1, while having fun bleeding wealth.",2021-12-31 13:16:37+00:00,25,680,0
CoinDesk,"Forget standing outside in the rain and risking the chance of catching COVID to watch the ball drop in Times Square.

@SamEwen says he’ll be celebrating the famous festivities in @decentraland. And you can, too. https://t.co/kKOBcFby3P",2021-12-31 13:21:04+00:00,34,168,0
CoinDesk,"Cryptocurrency markets this year had no shortage of drama, surprises, milestones, silliness and wild price swings. 

https://t.co/IpEKOsomzw",2021-12-31 13:22:08+00:00,18,108,0
CoinDesk,"Crypto requires centralized systems as entry and exit points for traditional finance despite the rise of #DeFi, according to @cz_binance.

By @JamieCrawleyCD https://t.co/XNOfDrNK7N",2021-12-31 13:28:12+00:00,25,136,0
Anthony Pompliano 🌪,"Hey @AOC - I see that you're in Miami right now.

Want to join us on The Best Business Show at 12noon to discuss the current economy, politician's trading stocks, and whether corporations are price gouging?

DM me if you can make it. Lots of people interested in your thoughts.",2021-12-31 13:57:11+00:00,206,3827,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"2021:
- 11m downloads
- Interviewed a President 
- Bought a football club
- Podcast team now 6 people

Big thanks to everyone - listeners, guests, sponsors and team.

Love you all, have a great night and let’s crush 2022.

Peace and love ✌🏼",2021-12-31 14:21:24+00:00,29,2582,0
Michael Saylor,@engineers_feed #Bitcoin,2021-12-31 14:44:36+00:00,69,252,1
CoinDesk,"Bitcoin miner @Bitfarms_io secured a $100 million bitcoin-backed loan from @GalaxyDigitalHQ. Reports @Aoyon_A

https://t.co/hmZ859H4l7",2021-12-31 14:47:50+00:00,45,187,0
Anthony Pompliano 🌪,Drop your 2022 goals and let's see what you all have planned in the New Year 👇🏼,2021-12-31 14:50:15+00:00,47,655,0
Willy Woo,"@udiWertheimer Bag holder of a shaky exchange that later was responsible for 1/8th of all BTC being stolen, while the seller of said exchange decided there was more money to be made in printing a new premine heavy coin called XRP.",2021-12-31 15:03:16+00:00,23,522,-1
Jameson Lopp,"Lightning Network in 2021:
# advertised channels ⬆️ 124% to 84,377
# nodes with channels ⬆️ 132% to 1,948
Bitcoin in those channels ⬆️ 212% to 3,309 BTC
Network total USD value ⬆️ 410% to $158M

NOTE: unadvertised channels and their value can't be measured.",2021-12-31 15:04:04+00:00,44,258,0
Anthony Pompliano 🌪,"If you had to buy one asset and hold it for the next decade with the sole goal of protecting your purchasing power, what wallet would you use to hold your Bitcoin?",2021-12-31 15:11:08+00:00,358,5431,1
CoinDesk,"A $100 million #bitcoin? @Saylor thinks we can get there.

Check out https://t.co/yHMYaDyzNy's Best of Newsmakers 2021: https://t.co/ZuQuRrpgaa https://t.co/IiUZ5SXAPB",2021-12-31 15:12:08+00:00,24,114,0
Jameson Lopp,"During 2021 the amount of BTC pegged into @Blockstream's Liquid network increased 29% to 3,354. https://t.co/wmIxRw1f3Z",2021-12-31 15:22:57+00:00,19,193,0
Adam Back,"@hernzzzzzz a classic case of #bitcoin derangement syndrome, unfortunately. as @maxkeiser coined.",2021-12-31 15:23:46+00:00,8,181,1
CoinDesk,"From Ethereum 2.0 to policy debates about stablecoins and DeFi, there’s a lot at stake for the future of money.   

Opinion for the “Money Reimagined” newsletter by @mikejcasey

https://t.co/gtmhs13qJa",2021-12-31 15:44:57+00:00,35,120,0
Adam Back,"@noisevault @hernzzzzzz @maxkeiser he's suffering from heliocentric/Roger-centric fallacy, he was involved early in bitcoin, egotistically thinks he was the largest factor in it's success, and now BDS tells him if he can use the same tactic again he can single-handedly force a 💩-fork to succeed. evidence aside :)",2021-12-31 15:47:46+00:00,0,30,0
nic carter,@udiWertheimer they don't even know how tibanne the cat's diabetes treatments relate to the loss of 800k BTC,2021-12-31 15:55:20+00:00,0,78,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,Final show of the year with our boy @ODELL. Roll on 2022!,2021-12-31 16:45:11+00:00,9,191,1
Jameson Lopp,"Wrapped bitcoin increased by 133% in 2021 to 329,000 BTC across different protocols. https://t.co/mmHkLbvGhC",2021-12-31 16:46:54+00:00,8,69,0
Jameson Lopp,"I don't expect bitcoin to displace the dollar as a common currency any time soon.

I expect it to replace the dollar as a global reserve asset.",2021-12-31 18:15:19+00:00,142,1585,1
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,@TheCDMole The price of Bitcoin is not relevant to what we are doing. A Bitcoin treasury is not used for operational business.,2021-12-31 18:34:58+00:00,0,0,1
Jason Deane,"2/11 I've directly &amp; personally introduced over 150 people to #bitcoin, either face to face or online. I've have run my ""Introduction to #bitcoin"" webinar in some form or other 37 times over the year (including publicly &amp; privately to companies, universities &amp; organizations) ...",2021-12-31 18:35:41+00:00,0,5,0
Jason Deane,"1/11 As we sign off for this year, I know it's been a difficult one for many of us, but also very rewarding! For me, 2021 has been all about spreading the adoption &amp; education of #bitcoin ... Here's a thread with the numbers &amp; some heartfelt thank yous!",2021-12-31 18:35:41+00:00,3,5,0
Jason Deane,"3/11 .. &amp; have now directly presented to over 3000 people, many of whom also went on to start their own #bitcoin journeys. (The next one is here by the way, you're welcome to join:) https://t.co/QAyqFbEyLz",2021-12-31 18:35:42+00:00,0,4,0
Jason Deane,4/11 I've had the absolute pleasure of working with @lunoglobal on the #bitcoinpioneer project where we now have over 150 fabulous #bitcoin pioneers across the UK giving out #bitcoin for free &amp; setting people up. It's a wonderful community &amp; I love being part of it.,2021-12-31 18:35:43+00:00,0,2,0
Jason Deane,"5/11 .. &amp; that small (but rapidly growing) group has so far succeeded in getting *another* 3,000 people started on their Bitcoin journeys! (anyone can join BTW, for info go here: https://t.co/k0q2D1MEcI)",2021-12-31 18:35:43+00:00,0,3,0
Jason Deane,"7/11 My @Medium articles have been read well over 100,000 times with a 100% curation rate. Some of my work has been referenced by #bitcoin giants like @saylor &amp; @PeterMcCormack. Much of this is thanks to people like @zulierane who helped me so much in the early days.",2021-12-31 18:35:45+00:00,0,5,1
CoinDesk,"The Dogecoin rival will release Doggy Dao in a “stage-by-stage” metric and phased approach. The first phase called “DAO 1″ will be implemented within the next few days.

@Aoyon_A reports

https://t.co/qffVyjOruy",2021-12-31 18:41:57+00:00,70,251,1
Dylan LeClair,"In 2022, if you haven’t already, your goal should be to learn and implement #bitcoin self custody best practices.",2021-12-31 19:12:16+00:00,53,529,0
Adam Back,@DocumentingBTC It's the bitcoin freight train coming at you 🤣,2021-12-31 19:15:03+00:00,2,95,1
Dylan LeClair,@Everythingascam For bitcoin only? I prefer @COLDCARDwallet,2021-12-31 19:15:44+00:00,1,20,1
Jameson Lopp,"""Retirement is not in my vocabulary. They aren't going to get rid of me that way.""

- Betty White

RIP",2021-12-31 19:18:06+00:00,12,218,1
CoinDesk,"Join us in @decentraland this New Year's Eve: Watch the best moments of 2021 by CoinDesk TV in our auditorium and snag exclusive discounts to #Consensus2022.

Watch the ball drop at the Virtual One Times Square NYE party: https://t.co/tI0gdXTWyd https://t.co/WcOmI0GN9S",2021-12-31 19:45:02+00:00,77,382,0
Jameson Lopp,"A great way to guarantee mediocrity is to regularly switch your focus to whatever grabs your attention, ensuring that you remain a master of nothing.",2021-12-31 19:55:32+00:00,17,271,1
nic carter,"Happy New Years to all, including the haters, losers, nocoiners, private blockchainers, CBDC enthusiasts, energy FUDsters, MMTers, and team transitory-ers",2021-12-31 19:56:54+00:00,37,752,1
Jameson Lopp,"sell everything today

buy it all back tomorrow

wash those losses away",2021-12-31 20:09:18+00:00,10,205,1
Anthony Pompliano 🌪,"As you make your 2022 goals, remember that you’ll never regret betting on yourself.",2021-12-31 20:52:00+00:00,243,2163,0
Willy Woo,"@WClementeIII @RaoulGMI For retail interest I’m referring to their relative rate of accumulation. 

There’s been changes impacting L1 on-chain volume over that period to note:

1) large spike in Segwit adoption, was responsible for fees drop.

2) LN growth, particularly apps like Strike to stack sats.",2021-12-31 21:58:43+00:00,9,209,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"Goals for 2022:
1. Promotion for @realbedford 
2. Less being fat
3. Find out what an XPUB is",2021-12-31 22:26:53+00:00,5,390,1
Adam Back,happy new year #bitcoin'ers!,2021-12-31 22:59:05+00:00,175,3328,1
Dylan LeClair,#Bitcoin yearly candles. https://t.co/XOr7OUU9b0,2021-12-31 23:08:26+00:00,68,785,0
Dylan LeClair,@CHAIRFORCE_BTC looks way worse lol https://t.co/Rwm1KvJIEQ,2021-12-31 23:11:16+00:00,1,40,0
Jameson Lopp,Bitcoin never stops scaling. https://t.co/QmCKtZu6zR,2021-12-31 23:35:50+00:00,5,138,1
DETERMINISTIC OPTIMISM 🌞,Bitcoin fixes this.,2021-12-31 23:53:38+00:00,12,77,1
CoinDesk,"2022 is the year NFTs will disrupt the music industry. 

Would you buy one from your favorite musician? 

Comment on #TikTok: 

https://t.co/mQiumiRWiR",2021-12-31 23:54:02+00:00,41,134,0
Elon Musk,@alex_avoigt Please take both of those sentences fully to heart!,2022-12-31 05:38:25+00:00,639,14101,0
Elon Musk,"@stillgray To the best of my knowledge, I have never met him, nor was I at that Halloween party in Romania",2022-12-31 07:33:45+00:00,816,14139,0
Elon Musk,Easy to create folders to bookmark tweets into various categories,2022-12-31 09:02:21+00:00,3808,75863,0
Peter McCormack 🏴‍☠️🇬🇧🇮🇪,"@notsofast It doesn't make sense. It implies that Bitcoin is fixed while you can stick more things onto ETH. Bitcoin isn't fixed, new things do get added to it.

These two images would have been better. https://t.co/JydBWru3p4",2022-12-31 09:51:01+00:00,0,68,0
